/V1/PLUS (Vtun=-0.2) X,/V1/PLUS (Vtun=-0.2) Y,/V1/PLUS (Vtun=-0.1) X,/V1/PLUS (Vtun=-0.1) Y,/V1/PLUS (Vtun=0) X,/V1/PLUS (Vtun=0) Y,/V1/PLUS (Vtun=0.1) X,/V1/PLUS (Vtun=0.1) Y,/V1/PLUS (Vtun=0.2) X,/V1/PLUS (Vtun=0.2) Y,/V1/PLUS (Vtun=0.3) X,/V1/PLUS (Vtun=0.3) Y
-1.5,-2.988477476991329e-07,-1.5,-2.806616892739505e-07,-1.5,-2.435777925731516e-07,-1.5,-2.06312414495439e-07,-1.5,-1.698459390352255e-07,-1.5,-1.340398293511283e-07
-1.4,-2.788344864460295e-07,-1.4,-2.618643234892859e-07,-1.4,-2.272594666674183e-07,-1.4,-1.924898602055989e-07,-1.4,-1.584661007174235e-07,-1.4,-1.250596909876787e-07
-1.3,-2.587706662800898e-07,-1.3,-2.430172667944879e-07,-1.3,-2.108988479832988e-07,-1.3,-1.786316632602961e-07,-1.3,-1.470570316291508e-07,-1.3,-1.16056339948974e-07
-1.2,-2.387134807277843e-07,-1.2,-2.241768138777042e-07,-1.2,-1.945448658306018e-07,-1.2,-1.647792421117235e-07,-1.2,-1.356528087328861e-07,-1.2,-1.070566851924661e-07
-1.1,-2.186865258670241e-07,-1.1,-2.053659535233917e-07,-1.1,-1.782174434296502e-07,-1.1,-1.509494550304828e-07,-1.1,-1.242672987285509e-07,-1.1,-9.807168272705763e-08
-0.9999999999999997,-1.986961038818536e-07,-0.9999999999999997,-1.865906620505382e-07,-0.9999999999999997,-1.619216977361922e-07,-0.9999999999999997,-1.371466231430348e-07,-0.9999999999999997,-1.129040511788974e-07,-0.9999999999999997,-8.910414472110052e-08
-0.8999999999999997,-1.78740652765695e-07,-0.8999999999999997,-1.678492586625981e-07,-0.8999999999999997,-1.456560873754441e-07,-0.8999999999999997,-1.233694294782738e-07,-0.8999999999999997,-1.015619756196126e-07,-0.8999999999999997,-8.015322069143877e-08
-0.7999999999999997,-1.588156912978462e-07,-0.7999999999999997,-1.49137272195943e-07,-0.7999999999999997,-1.294166483794621e-07,-0.7999999999999997,-1.0961450556639e-07,-0.7999999999999997,-9.023829305909989e-08,-0.7999999999999997,-7.121672723850318e-08
-0.6999999999999997,-1.389161379167288e-07,-0.6999999999999997,-1.304497015306599e-07,-0.6999999999999997,-1.131989599452826e-07,-0.6999999999999997,-9.587809599783523e-08,-0.6999999999999997,-7.892990586714538e-08,-0.6999999999999997,-6.229222934886429e-08
-0.5999999999999998,-1.190372428303545e-07,-0.5999999999999998,-1.117819108536504e-07,-0.5999999999999998,-9.699892204202108e-08,-0.5999999999999998,-8.215671691820003e-08,-0.5999999999999998,-6.763393975116528e-08,-0.5999999999999998,-5.337746819737448e-08
