dc (V),value(Gm "Vtun" -0.4),value(Gm "Vtun" -0.3),value(Gm "Vtun" -0.2),value(Gm "Vtun" -0.1),value(Gm "Vtun" -2.775558e-17),value(Gm "Vtun" 0.1),value(Gm "Vtun" 0.2),value(Gm "Vtun" 0.3)
-1.990,147.6E-9,145.4E-9,137.9E-9,121.5E-9,102.8E-9,84.28E-9,66.39E-9,48.84E-9
-1.980,149.0E-9,146.7E-9,139.3E-9,122.8E-9,103.8E-9,85.16E-9,67.09E-9,49.36E-9
-1.970,150.3E-9,148.1E-9,140.7E-9,124.0E-9,104.9E-9,86.06E-9,67.79E-9,49.88E-9
-1.960,151.7E-9,149.5E-9,142.2E-9,125.3E-9,106.0E-9,86.96E-9,68.50E-9,50.42E-9
-1.950,153.0E-9,151.0E-9,143.6E-9,126.7E-9,107.1E-9,87.87E-9,69.21E-9,50.95E-9
-1.940,154.4E-9,152.4E-9,145.1E-9,128.0E-9,108.2E-9,88.77E-9,69.93E-9,51.48E-9
-1.930,155.8E-9,153.8E-9,146.5E-9,129.3E-9,109.3E-9,89.68E-9,70.64E-9,52.01E-9
-1.920,157.1E-9,155.2E-9,147.9E-9,130.6E-9,110.4E-9,90.57E-9,71.35E-9,52.54E-9
-1.910,158.5E-9,156.6E-9,149.3E-9,131.8E-9,111.5E-9,91.46E-9,72.04E-9,53.06E-9
-1.900,159.8E-9,158.0E-9,150.7E-9,133.1E-9,112.6E-9,92.34E-9,72.73E-9,53.57E-9
-1.890,161.1E-9,159.3E-9,152.1E-9,134.3E-9,113.6E-9,93.20E-9,73.41E-9,54.08E-9
-1.880,162.4E-9,160.6E-9,153.4E-9,135.5E-9,114.7E-9,94.04E-9,74.07E-9,54.58E-9
-1.870,163.6E-9,161.9E-9,154.7E-9,136.7E-9,115.7E-9,94.87E-9,74.72E-9,55.06E-9
-1.860,164.9E-9,163.2E-9,156.0E-9,137.9E-9,116.7E-9,95.67E-9,75.36E-9,55.54E-9
-1.850,166.0E-9,164.4E-9,157.3E-9,139.0E-9,117.6E-9,96.45E-9,75.97E-9,56.00E-9
-1.840,167.2E-9,165.6E-9,158.5E-9,140.1E-9,118.5E-9,97.21E-9,76.57E-9,56.44E-9
-1.830,168.3E-9,166.7E-9,159.6E-9,141.2E-9,119.4E-9,97.95E-9,77.15E-9,56.88E-9
-1.820,169.4E-9,167.9E-9,160.8E-9,142.2E-9,120.3E-9,98.66E-9,77.71E-9,57.30E-9
