  Time                 , V(VOUT)              
  0.000000000000e+000  ,0.000000000000e+000  
  1.000000000000e-007  ,-4.317897492001e-006  
  2.000000000000e-007  ,-1.189926751977e-005  
  4.000093460083e-007  ,-4.181491385680e-005  
  8.000280380249e-007  ,-1.173398050014e-004  
  1.600065422058e-006  ,-3.655742912088e-004  
  3.200140190125e-006  ,-1.216962118633e-003  
  6.400289726257e-006  ,-3.055124543607e-003  
  1.280058879852e-005  ,-6.978620775044e-003  
  2.280119915009e-005  ,-1.305112801492e-002  
  3.280180950165e-005  ,-1.936594955623e-002  
  4.280241985321e-005  ,-2.509476616979e-002  
  5.280303020477e-005  ,-3.118974529207e-002  
  6.280364055634e-005  ,-3.672718629241e-002  
  7.280425090790e-005  ,-4.245001077652e-002  
  8.280486125946e-005  ,-4.775649681687e-002  
  9.280547161102e-005  ,-5.296538770199e-002  
  1.028060819626e-004  ,-5.769850686193e-002  
  1.128066923141e-004  ,-6.247077137232e-002  
  1.228073026657e-004  ,-6.714324653149e-002  
  1.328079130173e-004  ,-7.116788625717e-002  
  1.428085233688e-004  ,-7.503508031368e-002  
  1.528091337204e-004  ,-7.860596477985e-002  
  1.628097440720e-004  ,-8.182520419359e-002  
  1.728103544235e-004  ,-8.453538268805e-002  
  1.828109647751e-004  ,-8.708381652832e-002  
  1.928115751266e-004  ,-8.937475085258e-002  
  2.028121854782e-004  ,-9.103903174400e-002  
  2.128127958298e-004  ,-9.242734313011e-002  
  2.228134061813e-004  ,-9.344720840454e-002  
  2.328140165329e-004  ,-9.401397407055e-002  
  2.428146268845e-004  ,-9.417083114386e-002  
  2.528152372360e-004  ,-9.396144747734e-002  
  2.628158475876e-004  ,-9.335783869028e-002  
  2.728164579391e-004  ,-9.238154441118e-002  
  2.828170682907e-004  ,-9.103260189295e-002  
  2.928176786423e-004  ,-8.919484168291e-002  
  3.028182889938e-004  ,-8.705171197653e-002  
  3.128188993454e-004  ,-8.452286571264e-002  
  3.228195096970e-004  ,-8.165948837996e-002  
  3.328201200485e-004  ,-7.846724241972e-002  
