freq (Hz),"value(ganho ""Vtun"" 0.0) (dB)"
1,-6.054
1.023,-6.054
1.047,-6.054
1.072,-6.054
1.096,-6.054
1.122,-6.054
1.148,-6.054
1.175,-6.054
1.202,-6.054
1.23,-6.054
1.259,-6.054
1.288,-6.054
1.318,-6.054
1.349,-6.054
1.38,-6.054
1.413,-6.054
1.445,-6.054
1.479,-6.054
1.514,-6.054
1.549,-6.054
1.585,-6.054
1.622,-6.054
1.66,-6.054
1.698,-6.054
1.738,-6.054
1.778,-6.054
1.82,-6.054
1.862,-6.054
1.905,-6.054
1.95,-6.054
1.995,-6.054
2.042,-6.054
2.089,-6.054
2.138,-6.054
2.188,-6.054
2.239,-6.054
2.291,-6.054
2.344,-6.054
2.399,-6.054
2.455,-6.054
2.512,-6.054
2.57,-6.054
2.63,-6.054
2.692,-6.054
2.754,-6.054
2.818,-6.054
2.884,-6.054
2.951,-6.054
3.02,-6.054
3.09,-6.054
3.162,-6.054
3.236,-6.054
3.311,-6.054
3.388,-6.054
3.467,-6.054
3.548,-6.054
3.631,-6.054
3.715,-6.054
3.802,-6.054
3.89,-6.054
3.981,-6.054
4.074,-6.054
4.169,-6.054
4.266,-6.054
4.365,-6.054
4.467,-6.054
4.571,-6.054
4.677,-6.054
4.786,-6.054
4.898,-6.054
5.012,-6.054
5.129,-6.054
5.248,-6.054
5.37,-6.054
5.495,-6.054
5.623,-6.054
5.754,-6.054
5.888,-6.054
6.026,-6.054
6.166,-6.054
6.31,-6.054
6.457,-6.054
6.607,-6.054
6.761,-6.054
6.918,-6.054
7.079,-6.054
7.244,-6.054
7.413,-6.054
7.586,-6.054
7.762,-6.054
7.943,-6.054
8.128,-6.054
8.318,-6.054
8.511,-6.054
8.71,-6.054
8.913,-6.054
9.12,-6.054
9.333,-6.054
9.55,-6.054
9.772,-6.054
10,-6.054
10.23,-6.054
10.47,-6.054
10.72,-6.054
10.96,-6.054
11.22,-6.054
11.48,-6.054
11.75,-6.054
12.02,-6.054
12.3,-6.054
12.59,-6.054
12.88,-6.054
13.18,-6.054
13.49,-6.054
13.8,-6.054
14.13,-6.054
14.45,-6.054
14.79,-6.054
15.14,-6.054
15.49,-6.054
15.85,-6.054
16.22,-6.054
16.6,-6.054
16.98,-6.054
17.38,-6.054
17.78,-6.054
18.2,-6.054
18.62,-6.054
19.05,-6.054
19.5,-6.054
19.95,-6.054
20.42,-6.054
20.89,-6.054
21.38,-6.054
21.88,-6.054
22.39,-6.054
22.91,-6.054
23.44,-6.054
23.99,-6.054
24.55,-6.054
25.12,-6.054
25.7,-6.054
26.3,-6.054
26.92,-6.054
27.54,-6.054
28.18,-6.054
28.84,-6.054
29.51,-6.054
30.2,-6.054
30.9,-6.054
31.62,-6.054
32.36,-6.054
33.11,-6.054
33.88,-6.054
34.67,-6.054
35.48,-6.054
36.31,-6.054
37.15,-6.054
38.02,-6.054
38.9,-6.054
39.81,-6.054
40.74,-6.054
41.69,-6.054
42.66,-6.054
43.65,-6.054
44.67,-6.054
45.71,-6.054
46.77,-6.054
47.86,-6.054
48.98,-6.054
50.12,-6.054
51.29,-6.054
52.48,-6.054
53.7,-6.054
54.95,-6.054
56.23,-6.054
57.54,-6.054
58.88,-6.054
60.26,-6.054
61.66,-6.054
63.1,-6.054
64.57,-6.054
66.07,-6.054
67.61,-6.054
69.18,-6.054
70.79,-6.054
72.44,-6.054
74.13,-6.054
75.86,-6.054
77.62,-6.054
79.43,-6.054
81.28,-6.054
83.18,-6.054
85.11,-6.054
87.1,-6.054
89.13,-6.054
91.2,-6.054
93.33,-6.054
95.5,-6.054
97.72,-6.054
100,-6.054
102.3,-6.054
104.7,-6.054
107.2,-6.054
109.6,-6.054
112.2,-6.054
114.8,-6.054
117.5,-6.054
120.2,-6.055
123,-6.055
125.9,-6.055
128.8,-6.055
131.8,-6.055
134.9,-6.055
138,-6.055
141.3,-6.055
144.5,-6.055
147.9,-6.055
151.4,-6.055
154.9,-6.055
158.5,-6.055
162.2,-6.055
166,-6.055
169.8,-6.055
173.8,-6.055
177.8,-6.055
182,-6.055
186.2,-6.055
190.5,-6.055
195,-6.055
199.5,-6.055
204.2,-6.055
208.9,-6.055
213.8,-6.055
218.8,-6.055
223.9,-6.055
229.1,-6.055
234.4,-6.055
239.9,-6.056
245.5,-6.056
251.2,-6.056
257,-6.056
263,-6.056
269.2,-6.056
275.4,-6.056
281.8,-6.056
288.4,-6.056
295.1,-6.056
302,-6.056
309,-6.056
316.2,-6.057
323.6,-6.057
331.1,-6.057
338.8,-6.057
346.7,-6.057
354.8,-6.057
363.1,-6.057
371.5,-6.057
380.2,-6.058
389,-6.058
398.1,-6.058
407.4,-6.058
416.9,-6.058
426.6,-6.059
436.5,-6.059
446.7,-6.059
457.1,-6.059
467.7,-6.059
478.6,-6.06
489.8,-6.06
501.2,-6.06
512.9,-6.06
524.8,-6.061
537,-6.061
549.5,-6.061
562.3,-6.062
575.4,-6.062
588.8,-6.063
602.6,-6.063
616.6,-6.063
631,-6.064
645.7,-6.064
660.7,-6.065
676.1,-6.065
691.8,-6.066
707.9,-6.066
724.4,-6.067
741.3,-6.067
758.6,-6.068
776.2,-6.069
794.3,-6.069
812.8,-6.07
831.8,-6.071
851.1,-6.072
871,-6.072
891.3,-6.073
912,-6.074
933.3,-6.075
955,-6.076
977.2,-6.077
1.00E+03,-6.078
1.02E+03,-6.079
1.05E+03,-6.08
1.07E+03,-6.082
1.10E+03,-6.083
1.12E+03,-6.084
1.15E+03,-6.086
1.18E+03,-6.087
1.20E+03,-6.089
1.23E+03,-6.09
1.26E+03,-6.092
1.29E+03,-6.094
1.32E+03,-6.095
1.35E+03,-6.097
1.38E+03,-6.099
1.41E+03,-6.101
1.45E+03,-6.104
1.48E+03,-6.106
1.51E+03,-6.108
1.55E+03,-6.111
1.59E+03,-6.113
1.62E+03,-6.116
1.66E+03,-6.119
1.70E+03,-6.122
1.74E+03,-6.125
1.78E+03,-6.128
1.82E+03,-6.132
1.86E+03,-6.135
1.91E+03,-6.139
1.95E+03,-6.143
2.00E+03,-6.147
2.04E+03,-6.151
2.09E+03,-6.155
2.14E+03,-6.16
2.19E+03,-6.164
2.24E+03,-6.169
2.29E+03,-6.174
2.34E+03,-6.18
2.40E+03,-6.185
2.46E+03,-6.191
2.51E+03,-6.197
2.57E+03,-6.203
2.63E+03,-6.21
2.69E+03,-6.217
2.75E+03,-6.224
2.82E+03,-6.231
2.88E+03,-6.239
2.95E+03,-6.247
3.02E+03,-6.255
3.09E+03,-6.263
3.16E+03,-6.272
3.24E+03,-6.281
3.31E+03,-6.291
3.39E+03,-6.301
3.47E+03,-6.311
3.55E+03,-6.322
3.63E+03,-6.333
3.72E+03,-6.344
3.80E+03,-6.355
3.89E+03,-6.367
3.98E+03,-6.38
4.07E+03,-6.393
4.17E+03,-6.406
4.27E+03,-6.419
4.37E+03,-6.433
4.47E+03,-6.448
4.57E+03,-6.462
4.68E+03,-6.477
4.79E+03,-6.493
4.90E+03,-6.508
5.01E+03,-6.524
5.13E+03,-6.541
5.25E+03,-6.557
5.37E+03,-6.574
5.50E+03,-6.591
5.62E+03,-6.608
5.75E+03,-6.626
5.89E+03,-6.644
6.03E+03,-6.661
6.17E+03,-6.679
6.31E+03,-6.697
6.46E+03,-6.714
6.61E+03,-6.732
6.76E+03,-6.749
6.92E+03,-6.766
