freq (Hz),value(ganho "Vtun" -0.3) (dB),value(ganho "Vtun" -0.2) (dB),value(ganho "Vtun" -0.1) (dB),value(ganho "Vtun" 0.0) (dB),dB20(value(VF("/Vout") "Vtun" 0.0)) (dB),value(ganho "Vtun" 0.1) (dB),value(ganho "Vtun" 0.2) (dB)
1.000,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.023,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.047,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.072,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.096,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.122,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.148,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.175,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.202,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.230,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.259,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.288,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.318,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.349,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.380,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.413,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.445,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.479,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.514,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.549,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.585,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.622,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.660,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.698,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.738,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.778,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.820,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.862,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.905,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.950,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
1.995,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.042,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.089,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.138,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.188,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.239,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.291,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.344,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.399,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.455,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.512,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.570,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.630,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
2.692,-6.032,-6.034,-6.040,-6.054,-6.054,-6.086,-6.183
